2025-10-24T07:50:29.544129454Z [inf]  2025-10-24 07:50:29,265 - strategies.ict_smc - ERROR - Missing required indicators: 'macd'
2025-10-24T07:50:29.544139718Z [inf]  2025-10-24 07:50:29,497 - strategies.ict_smc - ERROR - Error fetching 1h trend for TURTLEUSDT: Insufficient klines data: 41 < 50
2025-10-24T07:50:29.544149835Z [inf]  2025-10-24 07:50:29,497 - strategies.ict_smc - INFO - TURTLEUSDT - 1h趨勢: neutral
2025-10-24T07:50:29.608263741Z [inf]  2025-10-24 07:50:29,602 - strategies.ict_smc - ERROR - Missing required indicators: 'macd'
2025-10-24T07:50:29.613200516Z [inf]  2025-10-24 07:50:29,610 - __main__ - INFO -   💼 Active positions: 0/3
2025-10-24T07:50:29.613209983Z [inf]  2025-10-24 07:50:29,608 - services.strategy_engine - INFO - Generated 0 signals from 369 symbols
2025-10-24T07:50:29.613219009Z [inf]  2025-10-24 07:50:29,610 - __main__ - INFO - ======================================================================
2025-10-24T07:50:29.613235237Z [inf]  2025-10-24 07:50:29,609 - __main__ - INFO - ✅ Analysis complete in 30.73s - 0 signals generated
2025-10-24T07:50:29.613235676Z [inf]  
2025-10-24T07:50:29.613248393Z [inf]  2025-10-24 07:50:29,609 - __main__ - INFO - ℹ️  No signals generated this cycle
2025-10-24T07:50:29.613260145Z [inf]  2025-10-24 07:50:29,610 - core.cache_manager - INFO - Cleaned up 369 expired entries
2025-10-24T07:50:29.613270849Z [inf]  2025-10-24 07:50:29,610 - __main__ - INFO - 
2025-10-24T07:50:29.613280477Z [inf]  📊 Cycle Summary:
2025-10-24T07:50:29.613289176Z [inf]  2025-10-24 07:50:29,610 - __main__ - INFO -   ⏱️  Total time: 38.49s
2025-10-24T07:50:29.613300939Z [inf]  2025-10-24 07:50:29,610 - __main__ - INFO -   📥 Fetch time: 7.76s
2025-10-24T07:50:29.613312136Z [inf]  2025-10-24 07:50:29,610 - __main__ - INFO -   🔍 Analysis time: 30.73s
2025-10-24T07:50:29.613321238Z [inf]  2025-10-24 07:50:29,610 - __main__ - INFO -   📊 Symbols analyzed: 369
2025-10-24T07:50:29.613328923Z [inf]  2025-10-24 07:50:29,610 - __main__ - INFO -   🎯 Signals generated: 0
2025-10-24T07:50:29.671049448Z [inf]  2025-10-24 07:50:29,665 - __main__ - INFO - ⏳ Waiting 60s for next cycle...
2025-10-24T07:50:29.671057123Z [inf]  2025-10-24 07:50:29,666 - discord.client - ERROR - Attempting a reconnect in 387.53s
2025-10-24T07:50:29.671064931Z [inf]  Traceback (most recent call last):
2025-10-24T07:50:29.671101875Z [inf]    File "/opt/venv/lib/python3.11/site-packages/discord/client.py", line 659, in connect
2025-10-24T07:50:29.671109535Z [inf]      await self.ws.poll_event()
2025-10-24T07:50:29.671116740Z [inf]    File "/opt/venv/lib/python3.11/site-packages/discord/gateway.py", line 623, in poll_event
2025-10-24T07:50:29.671124009Z [inf]      await self.received_message(msg.data)
2025-10-24T07:50:29.671131945Z [inf]    File "/opt/venv/lib/python3.11/site-packages/discord/gateway.py", line 531, in received_message
2025-10-24T07:50:29.671141592Z [inf]      await self.send_as_json(beat)
2025-10-24T07:50:29.671147884Z [inf]    File "/opt/venv/lib/python3.11/site-packages/discord/gateway.py", line 659, in send_as_json
2025-10-24T07:50:29.671153817Z [inf]      await self.send(utils._to_json(data))
2025-10-24T07:50:29.671160063Z [inf]    File "/opt/venv/lib/python3.11/site-packages/discord/gateway.py", line 655, in send
2025-10-24T07:50:29.671166606Z [inf]      await self.socket.send_str(data)
2025-10-24T07:50:29.671175107Z [inf]    File "/opt/venv/lib/python3.11/site-packages/aiohttp/client_ws.py", line 245, in send_str
2025-10-24T07:50:29.671180479Z [inf]      await self._writer.send_frame(
2025-10-24T07:50:29.671184569Z [inf]    File "/opt/venv/lib/python3.11/site-packages/aiohttp/_websocket/writer.py", line 126, in send_frame
2025-10-24T07:50:29.671190047Z [inf]      raise ClientConnectionResetError("Cannot write to closing transport")
2025-10-24T07:50:29.671195370Z [inf]  aiohttp.client_exceptions.ClientConnectionResetError: Cannot write to closing transport
2025-10-24T07:51:29.872727843Z [inf]  2025-10-24 07:51:29,727 - __main__ - INFO - 
2025-10-24T07:51:29.872736601Z [inf]  ======================================================================
2025-10-24T07:51:29.872745906Z [inf]  2025-10-24 07:51:29,727 - __main__ - INFO - 📊 Trading Cycle #60 - 2025-10-24 07:51:29
2025-10-24T07:51:29.872753514Z [inf]  2025-10-24 07:51:29,727 - __main__ - INFO - ======================================================================
2025-10-24T07:51:29.872761202Z [inf]  2025-10-24 07:51:29,727 - __main__ - INFO - 📥 Fetching data for 525 symbols...
2025-10-24T07:51:30.823329185Z [inf]  2025-10-24 07:51:30,538 - binance_client - ERROR - Error fetching async klines for BTCDOMUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:30.823338254Z [inf]  2025-10-24 07:51:30,567 - binance_client - ERROR - Error fetching async klines for 1000XECUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:30.823505818Z [inf]  2025-10-24 07:51:30,599 - binance_client - ERROR - Error fetching async klines for 1000SHIBUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.032245373Z [inf]  2025-10-24 07:51:31,025 - binance_client - ERROR - Error fetching async klines for 1000LUNCUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.042242691Z [inf]  2025-10-24 07:51:31,034 - binance_client - ERROR - Error fetching async klines for LUNA2USDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.079861873Z [inf]  2025-10-24 07:51:31,075 - binance_client - ERROR - Error fetching async klines for 1000PEPEUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.115437696Z [inf]  2025-10-24 07:51:31,112 - binance_client - ERROR - Error fetching async klines for 1000FLOKIUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.841629821Z [inf]  2025-10-24 07:51:31,820 - binance_client - ERROR - Error fetching async klines for BSVUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.841638982Z [inf]  2025-10-24 07:51:31,827 - binance_client - ERROR - Error fetching async klines for DODOXUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.873328756Z [inf]  2025-10-24 07:51:31,869 - binance_client - ERROR - Error fetching async klines for TOKENUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.885309209Z [inf]  2025-10-24 07:51:31,880 - binance_client - ERROR - Error fetching async klines for KASUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.885322689Z [inf]  2025-10-24 07:51:31,881 - binance_client - ERROR - Error fetching async klines for 1000RATSUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.900039393Z [inf]  2025-10-24 07:51:31,898 - binance_client - ERROR - Error fetching async klines for ETHWUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:31.900044698Z [inf]  2025-10-24 07:51:31,898 - binance_client - ERROR - Error fetching async klines for 1000BONKUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:32.825846033Z [inf]  2025-10-24 07:51:32,287 - binance_client - ERROR - Error fetching async klines for ZETAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:32.825851717Z [inf]  2025-10-24 07:51:32,305 - binance_client - ERROR - Error fetching async klines for POPCATUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:32.825856333Z [inf]  2025-10-24 07:51:32,317 - binance_client - ERROR - Error fetching async klines for MYROUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:32.825860669Z [inf]  2025-10-24 07:51:32,327 - binance_client - ERROR - Error fetching async klines for MEWUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:32.825869445Z [inf]  2025-10-24 07:51:32,421 - binance_client - ERROR - Error fetching async klines for BRETTUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.073497489Z [inf]  2025-10-24 07:51:33,071 - binance_client - ERROR - Error fetching async klines for MOODENGUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.073512301Z [inf]  2025-10-24 07:51:33,071 - binance_client - ERROR - Error fetching async klines for GOATUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.076932191Z [inf]  2025-10-24 07:51:33,072 - binance_client - ERROR - Error fetching async klines for SWELLUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.076941378Z [inf]  2025-10-24 07:51:33,072 - binance_client - ERROR - Error fetching async klines for 1000XUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.083844210Z [inf]  2025-10-24 07:51:33,079 - binance_client - ERROR - Error fetching async klines for KOMAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.083857698Z [inf]  2025-10-24 07:51:33,080 - binance_client - ERROR - Error fetching async klines for PONKEUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.090976913Z [inf]  2025-10-24 07:51:33,087 - binance_client - ERROR - Error fetching async klines for BANUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.094929194Z [inf]  2025-10-24 07:51:33,091 - binance_client - ERROR - Error fetching async klines for 1000WHYUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.107790370Z [inf]  2025-10-24 07:51:33,102 - binance_client - ERROR - Error fetching async klines for SAFEUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.107799680Z [inf]  2025-10-24 07:51:33,102 - binance_client - ERROR - Error fetching async klines for GRASSUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.107806999Z [inf]  2025-10-24 07:51:33,102 - binance_client - ERROR - Error fetching async klines for 1000000MOGUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.111777267Z [inf]  2025-10-24 07:51:33,106 - binance_client - ERROR - Error fetching async klines for RAYSOLUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.115454012Z [inf]  2025-10-24 07:51:33,113 - binance_client - ERROR - Error fetching async klines for DRIFTUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.115467129Z [inf]  2025-10-24 07:51:33,114 - binance_client - ERROR - Error fetching async klines for AKTUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.119026002Z [inf]  2025-10-24 07:51:33,114 - binance_client - ERROR - Error fetching async klines for AEROUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.140927049Z [inf]  2025-10-24 07:51:33,134 - binance_client - ERROR - Error fetching async klines for DEGENUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.768195603Z [inf]  2025-10-24 07:51:33,140 - binance_client - ERROR - Error fetching async klines for CHILLGUYUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.768211689Z [inf]  2025-10-24 07:51:33,156 - binance_client - ERROR - Error fetching async klines for MOCAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.768222608Z [inf]  2025-10-24 07:51:33,167 - binance_client - ERROR - Error fetching async klines for SPXUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.768234532Z [inf]  2025-10-24 07:51:33,503 - binance_client - ERROR - Error fetching async klines for HIPPOUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.859692175Z [inf]  2025-10-24 07:51:33,854 - binance_client - ERROR - Error fetching async klines for FARTCOINUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.859701165Z [inf]  2025-10-24 07:51:33,855 - binance_client - ERROR - Error fetching async klines for GRIFFAINUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.870135617Z [inf]  2025-10-24 07:51:33,866 - binance_client - ERROR - Error fetching async klines for ALCHUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.870146543Z [inf]  2025-10-24 07:51:33,866 - binance_client - ERROR - Error fetching async klines for ARCUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.879588043Z [inf]  2025-10-24 07:51:33,875 - binance_client - ERROR - Error fetching async klines for AVAAIUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.882709486Z [inf]  2025-10-24 07:51:33,879 - binance_client - ERROR - Error fetching async klines for VINEUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.885353391Z [inf]  2025-10-24 07:51:33,883 - binance_client - ERROR - Error fetching async klines for ZEREBROUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T07:51:33.885364160Z [inf]  2025-10-24 07:51:33,883 - binance_client - ERROR - Error fetching async klines for IPUSDT: APIError(code=-1121): Invalid symbol.
